Entering main loop
Iteration[1] time: 403 ms.
Iteration[2] time: 5 ms.
Iteration[3] time: 5 ms.
Iteration[4] time: 9 ms.
Iteration[5] time: 8 ms.
Iteration[6] time: 5 ms.
Iteration[7] time: 5 ms.
Iteration[8] time: 5 ms.
Iteration[9] time: 5 ms.
Iteration[10] time: 5 ms.
Iteration[11] time: 5 ms.
Iteration[12] time: 5 ms.
Iteration[13] time: 5 ms.
Iteration[14] time: 5 ms.
Iteration[15] time: 5 ms.
Iteration[16] time: 5 ms.
Iteration[17] time: 6 ms.
Iteration[18] time: 8 ms.
Iteration[19] time: 5 ms.
Iteration[20] time: 5 ms.
Iteration[21] time: 6 ms.
Iteration[22] time: 6 ms.
Iteration[23] time: 5 ms.
Iteration[24] time: 5 ms.
Iteration[25] time: 7 ms.
Iteration[26] time: 6 ms.
Iteration[27] time: 6 ms.
Iteration[28] time: 5 ms.
Iteration[29] time: 6 ms.
Iteration[30] time: 6 ms.
Iteration[31] time: 6 ms.
Iteration[32] time: 8 ms.
